47.2, 4.2, 33.9, 10.0, 34.8, 4.5, 8.3, 17.4, 6.3, 16.1, 5.6, 24.0
47.3, 4.2, 34.0, 9.9, 34.9, 4.5, 8.2, 17.4, 6.4, 16.1, 5.6, 24.1
47.6, 4.4, 35.4, 10.3, 36.3, 4.0, 8.0, 17.9, 6.6, 16.8, 5.8, 23.0
47.6, 4.4, 35.4, 10.3, 36.3, 4.0, 8.0, 17.9, 6.6, 16.8, 5.8, 23.0
47.7, 4.4, 35.5, 10.4, 36.4, 4.0, 8.0, 17.9, 6.6, 16.8, 5.8, 23.0
46.2, 4.4, 34.7, 10.4, 36.5, 4.0, 8.0, 18.0, 6.6, 16.7, 5.8, 23.1
46.2, 4.4, 34.7, 10.4, 36.5, 4.0, 8.0, 18.0, 6.6, 16.7, 5.8, 23.1
46.2, 4.4, 34.7, 10.4, 36.5, 4.0, 8.0, 18.0, 6.6, 16.7, 5.8, 23.1
46.2, 4.4, 34.7, 10.4, 36.5, 4.0, 8.0, 18.0, 6.6, 16.7, 5.8, 23.1
45.6, 4.5, 35.3, 10.6, 37.2, 3.7, 8.2, 18.3, 6.7, 17.0, 5.9, 23.5
45.6, 4.5, 35.3, 10.6, 37.2, 3.7, 8.2, 18.3, 6.7, 17.0, 5.9, 23.5
57.5, 3.4, 43.4, 10.5, 45.7, 4.4, 8.7, 18.3, 5.6, 18.7, 7.0, 27.4
57.5, 3.4, 43.5, 10.5, 45.7, 4.4, 8.7, 18.3, 5.6, 18.5, 7.0, 27.4
57.6, 3.4, 43.5, 10.4, 45.7, 4.4, 8.7, 18.4, 5.6, 18.6, 7.0, 27.4
57.6, 3.4, 43.5, 10.4, 45.7, 4.4, 8.7, 18.4, 5.6, 18.6, 7.0, 27.4
57.7, 3.4, 43.6, 10.4, 45.8, 4.4, 8.6, 18.4, 5.6, 18.6, 7.0, 26.6
57.8, 3.4, 43.7, 10.4, 45.9, 4.4, 8.6, 18.4, 5.6, 18.6, 7.0, 26.7
57.8, 3.4, 43.7, 10.4, 45.9, 4.4, 8.6, 18.4, 5.6, 18.6, 7.0, 26.7
57.8, 3.4, 43.7, 10.4, 45.9, 4.4, 8.6, 18.4, 5.6, 18.6, 7.0, 26.7
57.8, 3.4, 43.7, 10.4, 45.9, 4.4, 8.6, 18.4, 5.6, 18.6, 7.0, 26.7
57.8, 3.4, 43.7, 10.4, 45.9, 4.4, 8.6, 18.4, 5.6, 18.6, 7.0, 26.7
57.8, 3.4, 43.7, 10.4, 45.9, 4.4, 8.6, 18.4, 5.6, 18.6, 7.0, 26.7
57.8, 3.4, 43.7, 10.4, 45.9, 4.4, 8.6, 18.4, 5.6, 18.6, 7.0, 26.7
58.0, 3.4, 43.9, 10.4, 46.1, 4.3, 8.7, 18.5, 5.6, 18.7, 7.0, 26.8
58.1, 3.4, 43.9, 10.4, 46.2, 4.3, 8.7, 18.5, 5.6, 18.7, 7.0, 26.9
54.4, 3.5, 43.2, 10.2, 44.2, 4.4, 7.5, 18.8, 5.7, 19.0, 7.3, 26.8
54.4, 3.5, 43.3, 10.2, 44.3, 4.4, 7.5, 18.8, 5.7, 19.0, 7.3, 26.8
54.4, 3.5, 43.3, 10.2, 44.3, 4.4, 7.5, 18.8, 5.7, 19.0, 7.3, 26.8
54.7, 3.6, 43.5, 10.2, 44.5, 4.4, 7.5, 18.9, 5.8, 19.1, 7.3, 23.6
54.7, 3.6, 43.5, 10.2, 44.5, 4.4, 7.5, 18.9, 5.8, 19.1, 7.3, 23.6
56.2, 3.6, 44.7, 10.5, 45.7, 4.3, 7.7, 14.4, 5.9, 19.6, 7.5, 22.3
56.2, 3.6, 44.7, 10.5, 45.7, 4.3, 7.7, 14.4, 5.9, 19.6, 7.5, 22.3
56.2, 3.6, 44.7, 10.5, 45.7, 4.3, 7.7, 14.4, 5.9, 19.6, 7.5, 22.3
56.5, 3.7, 44.9, 10.5, 46.0, 4.3, 7.7, 14.5, 5.9, 19.7, 7.6, 19.9
56.7, 3.7, 45.1, 10.6, 46.1, 4.4, 7.7, 14.5, 5.9, 19.8, 7.6, 19.0
56.7, 3.7, 45.1, 10.6, 46.1, 4.4, 7.7, 14.5, 5.9, 19.8, 7.6, 19.0
56.8, 3.7, 45.2, 10.6, 46.2, 4.4, 7.6, 14.6, 5.9, 19.8, 7.6, 19.1
57.4, 3.7, 44.7, 10.7, 45.7, 4.4, 7.6, 14.6, 6.0, 19.9, 7.7, 16.2
57.4, 3.7, 44.7, 10.7, 45.7, 4.4, 7.6, 14.6, 6.0, 19.9, 7.7, 16.2
53.7, 3.8, 36.7, 10.9, 42.7, 4.5, 7.8, 14.1, 6.1, 19.0, 7.9, 13.8
53.8, 3.8, 36.8, 10.8, 42.8, 4.5, 7.8, 14.1, 6.1, 19.0, 7.9, 13.7
53.8, 3.8, 36.8, 10.8, 42.8, 4.5, 7.8, 14.1, 6.1, 19.0, 7.9, 13.7
53.8, 3.8, 36.8, 10.8, 42.8, 4.5, 7.8, 14.1, 6.1, 19.0, 7.9, 13.7
53.8, 3.8, 36.8, 10.8, 42.8, 4.5, 7.8, 14.1, 6.1, 19.0, 7.9, 13.7
53.8, 3.8, 36.8, 10.8, 42.8, 4.5, 7.8, 14.1, 6.1, 19.0, 7.9, 13.7
53.8, 3.8, 36.8, 10.8, 42.8, 4.5, 7.8, 14.1, 6.1, 19.0, 7.9, 13.7
53.8, 3.8, 36.8, 10.8, 42.8, 4.5, 7.8, 14.1, 6.1, 19.0, 7.9, 13.7
53.8, 3.8, 36.8, 10.8, 42.8, 4.5, 7.8, 14.1, 6.1, 19.0, 7.9, 13.7
52.6, 3.8, 36.2, 10.8, 42.0, 4.5, 7.8, 14.2, 6.1, 19.1, 7.9, 13.6
52.6, 3.8, 36.2, 10.8, 42.0, 4.5, 7.8, 14.2, 6.1, 19.1, 7.9, 13.6
53.3, 3.9, 36.7, 10.9, 42.6, 4.6, 7.1, 14.4, 6.2, 19.3, 8.0, 13.8
53.9, 3.8, 37.2, 11.0, 43.1, 4.6, 7.2, 13.6, 6.2, 18.6, 8.1, 14.0
53.9, 3.8, 37.2, 11.0, 43.1, 4.6, 7.2, 13.6, 6.2, 18.6, 8.1, 14.0
53.9, 3.8, 37.2, 11.0, 43.1, 4.6, 7.2, 13.6, 6.2, 18.6, 8.1, 14.0
53.9, 3.8, 37.2, 11.0, 43.1, 4.6, 7.2, 13.6, 6.2, 18.6, 8.1, 14.0
53.9, 3.8, 37.2, 11.0, 43.1, 4.6, 7.1, 13.6, 6.2, 18.6, 8.1, 14.0
54.5, 3.9, 37.6, 11.1, 43.6, 4.4, 7.2, 13.8, 6.3, 18.8, 8.2, 14.1
54.5, 3.9, 37.6, 11.1, 43.6, 4.4, 7.2, 13.8, 6.3, 18.8, 8.2, 14.1
53.2, 3.9, 37.6, 11.1, 43.6, 4.4, 7.2, 13.8, 6.3, 18.8, 8.2, 14.1
53.6, 3.9, 37.9, 11.2, 43.9, 4.4, 7.3, 13.9, 6.3, 18.9, 7.9, 14.2
53.6, 3.9, 37.9, 11.2, 43.9, 4.4, 7.3, 13.9, 6.3, 18.9, 7.9, 14.2
53.6, 3.9, 37.9, 11.2, 43.9, 4.4, 7.3, 13.9, 6.3, 18.9, 7.9, 14.2
57.5, 4.1, 40.6, 12.0, 47.1, 3.3, 7.8, 14.9, 6.8, 20.3, 8.5, 15.3
58.2, 4.3, 38.8, 12.1, 47.9, 3.4, 8.0, 15.0, 7.0, 18.6, 8.8, 12.5
58.2, 4.3, 38.8, 12.1, 47.9, 3.4, 8.0, 15.0, 7.0, 18.6, 8.8, 12.5
58.2, 4.3, 38.8, 12.1, 47.9, 3.4, 8.0, 15.0, 7.0, 18.6, 8.8, 12.5
58.2, 4.3, 38.8, 12.1, 47.9, 3.4, 8.0, 15.0, 7.0, 18.6, 8.8, 12.5
58.2, 4.3, 38.8, 12.1, 47.9, 3.4, 8.0, 15.0, 7.0, 18.6, 8.8, 12.5
58.2, 4.3, 38.8, 12.1, 47.9, 3.4, 8.0, 15.0, 7.0, 18.6, 8.8, 12.5
58.2, 4.3, 38.8, 12.1, 47.9, 3.4, 8.0, 15.0, 7.0, 18.6, 8.8, 12.5
58.2, 4.3, 38.8, 12.1, 47.9, 3.4, 8.0, 15.0, 7.0, 18.6, 8.8, 12.5
58.2, 4.3, 38.8, 12.1, 47.9, 3.4, 8.0, 15.0, 7.0, 18.6, 8.8, 12.5
58.8, 4.3, 39.2, 12.2, 48.4, 3.4, 8.1, 15.1, 7.1, 18.8, 8.9, 10.9
58.9, 4.3, 39.2, 12.2, 48.5, 3.4, 8.0, 15.1, 7.1, 18.8, 8.9, 10.9
59.3, 4.4, 39.5, 12.3, 47.0, 3.4, 7.8, 14.4, 7.1, 19.0, 9.0, 10.9
59.3, 4.4, 39.5, 12.3, 47.0, 3.4, 7.8, 14.4, 7.1, 19.0, 9.0, 10.9
58.7, 4.4, 40.0, 11.9, 47.6, 3.3, 7.9, 14.5, 7.2, 19.2, 9.1, 11.0
59.1, 4.4, 34.8, 11.9, 47.9, 3.4, 7.7, 14.6, 7.3, 19.4, 9.1, 11.1
59.1, 4.4, 34.8, 11.9, 47.9, 3.4, 7.7, 14.6, 7.3, 19.4, 9.1, 11.1
59.1, 4.4, 34.8, 11.9, 47.9, 3.4, 7.7, 14.6, 7.3, 19.4, 9.1, 11.1
59.1, 4.4, 34.8, 11.9, 47.9, 3.4, 7.7, 14.6, 7.3, 19.4, 9.1, 11.1
59.1, 4.4, 34.8, 11.9, 47.9, 3.4, 7.7, 14.6, 7.3, 19.4, 9.1, 11.1
59.9, 4.5, 35.2, 12.1, 48.6, 3.3, 7.4, 14.8, 7.3, 19.6, 9.3, 11.2
60.1, 4.5, 35.4, 12.0, 47.0, 3.3, 7.3, 14.8, 7.3, 19.7, 9.3, 11.2
62.9, 4.7, 37.1, 11.6, 49.2, 3.2, 7.6, 15.5, 7.6, 20.2, 9.7, 9.3
63.2, 4.7, 37.2, 11.6, 49.4, 3.2, 7.6, 15.6, 7.6, 19.8, 9.8, 9.2
63.2, 4.7, 37.2, 11.6, 49.4, 3.2, 7.6, 15.6, 7.6, 19.8, 9.8, 9.2
63.7, 4.8, 37.5, 11.3, 48.0, 3.2, 7.7, 15.7, 7.7, 17.4, 9.8, 9.2
63.7, 4.8, 37.5, 11.3, 48.0, 3.2, 7.7, 15.7, 7.7, 17.4, 9.8, 9.2
63.7, 4.8, 37.5, 11.3, 48.0, 3.2, 7.7, 15.7, 7.7, 17.4, 9.8, 9.2
62.4, 4.8, 36.6, 11.3, 48.1, 3.3, 7.7, 15.7, 7.7, 17.4, 9.8, 9.3
62.4, 4.8, 36.6, 11.3, 48.1, 3.3, 7.7, 15.7, 7.7, 17.4, 9.8, 9.3
62.4, 4.8, 36.6, 11.3, 48.1, 3.3, 7.7, 15.7, 7.7, 17.4, 9.8, 9.3
62.8, 4.8, 36.8, 10.6, 48.5, 3.3, 7.7, 15.7, 7.6, 17.6, 9.9, 9.3
63.0, 4.8, 37.0, 10.6, 48.6, 3.3, 7.6, 15.7, 7.6, 17.6, 9.9, 9.4
62.2, 5.1, 37.0, 11.0, 47.9, 3.3, 7.0, 15.9, 6.8, 18.4, 10.4, 9.9
62.2, 5.1, 37.0, 11.0, 47.9, 3.3, 7.0, 15.9, 6.8, 18.4, 10.4, 9.9
62.2, 5.1, 37.0, 11.0, 47.9, 3.3, 7.0, 15.9, 6.8, 18.4, 10.4, 9.9
62.4, 5.1, 37.1, 11.1, 48.1, 3.3, 7.0, 15.1, 6.9, 18.4, 10.4, 9.9
62.4, 5.1, 37.1, 11.1, 48.1, 3.3, 7.0, 15.1, 6.9, 18.4, 10.4, 9.9
62.5, 5.1, 37.1, 11.1, 48.1, 3.3, 7.0, 15.1, 6.9, 18.2, 10.4, 9.9
62.5, 5.1, 37.1, 11.1, 48.1, 3.3, 7.0, 15.1, 6.9, 18.2, 10.4, 9.9
62.5, 5.1, 37.2, 11.1, 48.2, 3.3, 7.0, 15.1, 6.9, 18.2, 10.5, 9.8
