5.6, 26.2, 5.4, 16.8, 59.0, 4.6, 3.5, 12.7, 36.3, 94.4, 6.1
5.6, 26.2, 5.4, 16.8, 59.0, 4.6, 3.5, 12.7, 36.3, 94.4, 6.1
5.6, 26.3, 5.4, 16.9, 59.2, 4.6, 3.5, 12.8, 33.8, 94.7, 6.0
5.6, 26.3, 5.4, 16.9, 59.3, 4.6, 3.5, 12.8, 33.8, 94.8, 6.0
5.6, 26.3, 5.4, 16.9, 59.3, 4.6, 3.5, 12.8, 33.8, 94.8, 6.0
5.8, 27.2, 5.6, 13.2, 61.3, 4.8, 3.7, 13.2, 35.0, 98.0, 5.5
5.8, 27.2, 5.6, 13.2, 61.3, 4.8, 3.7, 13.2, 35.0, 98.0, 5.5
5.8, 27.3, 5.5, 13.2, 61.5, 4.8, 3.6, 13.2, 35.1, 98.4, 5.5
5.8, 27.3, 5.5, 13.2, 61.5, 4.8, 3.6, 13.2, 35.1, 98.4, 5.5
5.8, 27.3, 5.5, 13.2, 61.5, 4.8, 3.6, 13.2, 35.1, 98.4, 5.5
5.8, 27.3, 5.5, 13.2, 61.5, 4.8, 3.6, 13.2, 35.1, 98.4, 5.5
5.8, 27.3, 5.5, 13.3, 61.6, 4.8, 3.7, 13.3, 35.2, 98.5, 5.5
5.3, 25.6, 5.2, 13.4, 49.0, 4.9, 3.9, 14.5, 38.5, 53.9, 5.8
5.3, 22.6, 5.2, 13.6, 45.3, 4.9, 3.9, 14.7, 38.8, 54.4, 5.9
5.7, 23.2, 5.0, 12.1, 48.4, 5.2, 3.6, 15.6, 41.4, 58.0, 6.1
5.7, 23.2, 5.0, 12.1, 48.4, 5.2, 3.6, 15.6, 41.4, 58.0, 6.1
5.7, 23.2, 5.0, 12.1, 48.4, 5.2, 3.6, 15.6, 41.4, 58.0, 6.1
5.7, 23.2, 5.0, 12.1, 48.4, 5.2, 3.6, 15.6, 41.4, 58.0, 6.1
5.7, 23.2, 5.0, 12.1, 48.4, 5.2, 3.6, 15.6, 41.4, 58.0, 6.1
5.7, 23.2, 5.0, 12.1, 48.4, 5.2, 3.6, 15.6, 41.4, 58.0, 6.1
5.7, 23.2, 5.0, 12.1, 48.4, 5.2, 3.6, 15.6, 41.4, 58.0, 6.1
5.7, 23.2, 5.0, 12.1, 48.4, 5.2, 3.6, 15.6, 41.4, 58.0, 6.1
5.8, 23.5, 4.7, 12.2, 49.0, 5.3, 3.6, 15.9, 42.0, 58.8, 6.2
